feature,importance_mean,importance_std
accommodates,0.05863345935468921,0.003757267845814937
room_type,0.03458658992311963,0.002135578108453209
availability_365,0.03090008696352949,0.0030453544959881834
bedrooms,0.024109291547189483,0.0024228626917182274
longitude,0.021259501751900025,0.0023768358550505437
neighbourhood_cleansed,0.02054779028614501,0.0023900589584792556
reviews_per_month_calc,0.016190417214029997,0.0013836613581827049
latitude,0.013621983367333777,0.0021194669854237955
number_of_reviews,0.004795317338241275,0.0015437996306749044
has_tv,0.004085472538553921,0.0008677012297967059
calculated_host_listings_count,0.004044450452541126,0.00040280907544136795
has_air_conditioning,0.0033439701685796666,0.0008307906961180626
minimum_nights,0.0030963570425897053,0.0012029921614241162
review_scores_rating,0.003056012628140557,0.0009538111627795168
bathroom_is_shared,0.002720033693393729,0.0004481628526666277
review_scores_location,0.002701007313893931,0.001350751997871602
bathroom_count,0.0026993377070346843,0.0006301310470935728
amenity_count,0.0026804073958308287,0.0014867746526875951
host_tenure_years,0.002411692901561041,0.001012347122551286
review_scores_cleanliness,0.002148867068771576,0.0011736908581270237
property_type_bucket,0.001669211902514304,0.0010427944998402067
host_response_rate,0.0014775382367504363,0.0007179441063601794
beds_per_guest,0.0011356831013385601,0.000504105967601997
instant_bookable,0.0008158075574901336,0.0004963378569472834
has_bathtub,0.0005952285655037026,0.0005482070690063849
has_dishwasher,0.0005856707811559003,0.0003321696307307535
has_gym,0.000548911779628386,0.00037332011509756387
has_elevator,0.00033251814820400106,0.00013756498471059257
has_workspace,0.00022007829573516546,0.00020844103706189293
has_pool,4.369140867211592e-05,3.083869156402797e-05
has_kitchen,3.735677226916663e-05,0.00023757222981954335
host_is_superhost,-7.432745689142836e-05,0.00036505307306867373
has_washer,-0.0004111773900477789,0.0002000750045888606
beds,-0.0007790899910201654,0.00041011255793602347
has_parking,-0.0009028343107109852,0.00044197345110946463
has_wifi,-0.001041131239883943,0.0006175249252276226
