neighbourhood,listing_count,unique_hosts,listings_per_km2
De Baarsjes - Oud-West,1808,1704,540.9549941788082
Centrum-West,1207,938,335.2991247496194
Oud-Oost,654,607,296.84085904268466
De Pijp - Rivierenbuurt,1199,1120,271.97027295958804
Centrum-Oost,923,726,205.9864814749573
Bos en Lommer,547,524,196.81644236596975
Westerpark,736,690,190.08066545003066
Zuid,735,667,135.40841287895276
Oostelijk Havengebied - Indische Buurt,436,414,77.66188214247158
Oud-Noord,485,428,53.62697678516676
Noord-West,298,276,35.537911604539005
Watergraafsmeer,318,283,35.06496089090117
Slotervaart,206,184,34.76497155088934
Buitenveldert - Zuidas,125,106,16.63012467750262
Geuzenveld - Slotermeer,139,109,13.84401346982226
IJburg - Zeeburgereiland,188,172,13.571512201902985
Bijlmer-Oost,38,36,9.278165296784751
De Aker - Nieuw Sloten,67,59,8.794761229863536
Bijlmer-Centrum,66,44,7.7909158215904295
Gaasperdam - Driemond,60,48,6.2166498707188875
Osdorp,57,52,6.18550577631932
Noord-Oost,188,160,4.025794872686079
