,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
price_numeric,9264.0,201.2404,1656.9898,5.0,28.0,40.0,70.0,104.0,160.0,300.0,617.37,50000.0,5010,35.1
availability_365,14274.0,146.8296,140.4675,0.0,0.0,0.0,0.0,112.0,288.0,363.0,365.0,365.0,0,0.0
number_of_reviews,14274.0,44.5195,100.5387,0.0,0.0,0.0,1.0,8.0,40.0,229.0,451.27,2895.0,0,0.0
review_scores_rating,10960.0,4.7547,0.3623,0.0,3.4,4.0595,4.67,4.86,5.0,5.0,5.0,5.0,3314,23.2
review_scores_cleanliness,10960.0,4.698,0.4045,0.0,3.0,4.0,4.59,4.81,4.97,5.0,5.0,5.0,3314,23.2
review_scores_communication,10959.0,4.8206,0.3669,0.0,3.0,4.29,4.8,4.93,5.0,5.0,5.0,5.0,3315,23.2
review_scores_location,10957.0,4.7611,0.3287,0.0,3.5,4.2,4.67,4.84,5.0,5.0,5.0,5.0,3317,23.2
review_scores_value,10956.0,4.6472,0.4045,0.0,3.0,4.0,4.54,4.73,4.88,5.0,5.0,5.0,3318,23.2
host_tenure_years,14260.0,8.1873,3.9251,0.0192,0.3587,1.2045,5.0951,9.091,11.2005,13.8015,14.9734,17.1253,14,0.1
occupancy_proxy,14274.0,0.5975,0.3848,0.0,0.0,0.0055,0.211,0.6932,1.0,1.0,1.0,1.0,0,0.0
reviews_per_month_calc,10960.0,1.0307,1.9423,0.0,0.0,0.0,0.0,0.25,1.3333,4.3333,7.1175,57.25,3314,23.2
host_portfolio_size,14274.0,14.0709,48.4405,1.0,1.0,1.0,1.0,1.0,5.0,79.0,311.0,311.0,0,0.0
host_response_rate,9256.0,0.9041,0.2219,0.0,0.0,0.5,0.94,1.0,1.0,1.0,1.0,1.0,5018,35.2
